author,genre,image_url,price,rating,reviews_count,title
by,Programming,https://m.media-amazon.com/images/I/71l3R0Y7O8L._AC_UY218_.jpg,686,4.3,172,"The Go Programming Language, 1/e"
Brian W. Kernighan / Dennis Ritchie,Programming,https://m.media-amazon.com/images/I/71LM3pMsvWL._AC_UY218_.jpg,375,4.4,"4,028","C PROGRAMMING LANGUAGE, 2ND EDN"
by,Programming,https://m.media-amazon.com/images/I/31hT4ul9DeL._AC_UY218_.jpg,"12,020",4.2,13,Introduction to Recursive Programming
Martin C. Brown,Programming,https://m.media-amazon.com/images/I/51y1U5JPfyL._AC_UY218_.jpg,627,4.2,679,Python: The Complete Reference
Carol Nichols,Programming,https://m.media-amazon.com/images/I/71SlLVGcg-L._AC_UY218_.jpg,"2,355.",4.8,419,The Rust Programming Language: 2nd Edition
Bjarne Stroustrup,Programming,https://m.media-amazon.com/images/I/5197qo6Q1GL._AC_UY218_.jpg,900,4.4,279,"C++ Programming Language, 4e"
The Housemaid Freida McFadden,Mystery,https://m.media-amazon.com/images/I/81loPDFi-wL._AC_UY218_.jpg,338,4.4,"497,746","The Housemaid: An Absolutely Addictive Psychological Thriller with a Jaw-Dropping Twist (The Housemaid series, Book1) | TikTok Viral & Bestseller Pick"
Nidhi Upadhyay,Mystery,https://m.media-amazon.com/images/I/81b1PP4RK1L._AC_UY218_.jpg,186,4.3,"3,347","That Night: Four Friends, Twenty Years, One Haunting Secret—A Twisted Thriller of Guilt, Betrayal, and Revenge"
Lena Jones,Mystery,https://m.media-amazon.com/images/I/81Hl5oMzFlL._AC_UY218_.jpg,261,4.5,"1,876",The Secret Key: Agatha Oddly (1)
The Housemaid Freida McFadden,Mystery,https://m.media-amazon.com/images/I/81+ceFx9BcL._AC_UY218_.jpg,342,4.3,"257,485",Never Lie: A Totally Gripping Thriller with Mind-bending Twists | TikTok Viral & Bestseller Pick
Holly Jackson,Mystery,https://m.media-amazon.com/images/I/81Vv505HKYL._AC_UY218_.jpg,308,4.4,"7,813",The Reappearance of Rachel Price : A sensational new young adult thriller for 2024 from the award-winning author of the bestselling A Good Girls Guide to Murder.
Lisa Jewell,Mystery,https://m.media-amazon.com/images/I/91TQwXokvuL._AC_UY218_.jpg,355,4.2,"95,943","The Family Upstairs: The #1 bestseller and gripping Richard & Judy Book Club pick (The Family Upstairs, 1)"
Divyaroop Bhatnagar,Mystery,https://m.media-amazon.com/images/I/91tVxoFevzL._AC_UY218_.jpg,197,4.3,277,The Mussoorie Murders
Karen McManus,Mystery,https://m.media-amazon.com/images/I/71oz7kV9NuL._AC_UY218_.jpg,286,4.4,"45,132",One Of Us Is Lying
Lena Jones,Mystery,https://m.media-amazon.com/images/I/81oYBoHT1eL._AC_UY218_.jpg,239,4.6,"1,116",Murder at the Museum : Agatha Oddly Book 2
G. T. Karber,Mystery,https://m.media-amazon.com/images/I/71ImfTaemnL._AC_UY218_.jpg,321,4.6,"4,528",MURDLE: SOLVE 100 DEVILISHLY DEVIOUS MURDER MYSTERY LOGIC PUZZLES
Devashish Sardana,Mystery,https://m.media-amazon.com/images/I/51ulQuaRoqL._AC_UY218_.jpg,181,4.4,"1,227",The Girl in the Glass Case: Keep Your Girls Safe. Boys Safer | Book 1 in the Simone Singh series | A Chilling Mystery Thriller of Deadly Rivalries and Twisted Minds
Freida Mcfadden,Mystery,https://m.media-amazon.com/images/I/81aqIyn4XrL._AC_UY218_.jpg,331,4.3,"131,556",The Locked Door: An addictive psychological thriller with mind-bending twists
Ravi Subramanian,Mystery,https://m.media-amazon.com/images/I/71rhWTz2YYL._AC_UY218_.jpg,184,4.5,100,Mystery Of The Missing Cat (Sms Detective Agency Book 2)
Holly Jackson,Mystery,https://m.media-amazon.com/images/I/81E3hDPr3eL._AC_UY218_.jpg,286,4.6,"67,558",A Good Girl'S Guide To Murder
Ruskin Bond,Mystery,https://m.media-amazon.com/images/I/71DW5Hrc41L._AC_UY218_.jpg,183,4.0,"1,855",The Perfect Murder
by,Mystery,https://m.media-amazon.com/images/I/71YjqWYLt4L._AC_UY218_.jpg,569,4.4,"1,512",World's Greatest Short Stories (Deluxe Hardbound Edition)
Shrijeet Shandilya,Young Adult,https://m.media-amazon.com/images/I/71zpck45b2L._AC_UY218_.jpg,200,4.3,229,"Can We Be Strangers Again?: A moving tale of love, loyalty and the bittersweet beauty of letting go"
Holly Jackson,Young Adult,https://m.media-amazon.com/images/I/81E3hDPr3eL._AC_UY218_.jpg,286,4.6,"67,558",A Good Girl'S Guide To Murder
Anne Frank,Young Adult,https://m.media-amazon.com/images/I/81lZ-9E4F-S._AC_UY218_.jpg,129,4.5,"50,929",The Diary of A Young Girl
Morgan Housel,Young Adult,https://m.media-amazon.com/images/I/71XEsXS5RlL._AC_UY218_.jpg,259,4.6,"73,500",The Psychology of Money
by,Young Adult,https://m.media-amazon.com/images/I/81HP7-DUQKL._AC_UY218_.jpg,176,4.6,"7,393",Wise and Otherwise: 51 Inspiring Life Lessons and Heartfelt Stories by Sudha Murty
Ruskin Bond,Young Adult,https://m.media-amazon.com/images/I/71YjdCMBmQL._AC_UY218_.jpg,99,4.5,"16,459","Rupa Publications India The Blue Umbrella, 90 Pages"
Holly Jackson,Young Adult,https://m.media-amazon.com/images/I/81Vv505HKYL._AC_UY218_.jpg,308,4.4,"7,813",The Reappearance of Rachel Price : A sensational new young adult thriller for 2024 from the award-winning author of the bestselling A Good Girls Guide to Murder.
Kelly Barnhill,Young Adult,https://m.media-amazon.com/images/I/7138zaESFhL._AC_UY218_.jpg,246,4.5,"27,778",The Girl Who Drank the Moon
by,Young Adult,https://m.media-amazon.com/images/I/61lAgJKkJwL._AC_UY218_.jpg,188,,,"BUNGLE ICEBREAKER – A Heartfelt Young Adult Romance Novel, High School Love Story, Teen Romance Book, Coming-of-Age Fiction for Teens, Emotional Love Story Book for Girls"
Joseph Nguyen,Young Adult,https://m.media-amazon.com/images/I/715qi-cIbML._AC_UY218_.jpg,163,4.5,"11,964",Don't Believe Everything You Think (English)
Stuti Changle,Young Adult,https://m.media-amazon.com/images/I/71dNsRuYL7L._AC_UY218_.jpg,163,4.3,"3,258",You Only Live Once: A Journey of Self-Discovery and Empowerment | Inspiring Fiction by Stuti Changle | Personal Growth and Motivational Stories
Karen McManus,Young Adult,https://m.media-amazon.com/images/I/71oz7kV9NuL._AC_UY218_.jpg,286,4.4,"45,132",One Of Us Is Lying
Anita Krishan,Young Adult,https://m.media-amazon.com/images/I/91g4YHEkGkL._AC_UY218_.jpg,165,4.4,"3,407",Ghosts of The Silent Hills: Stories based on true hauntings
E. Lockhart,Young Adult,https://m.media-amazon.com/images/I/61aHWVH-QML._AC_UY218_.jpg,279,4.3,"72,926",We Were Liars: The award-winning YA book TikTok can’t stop talking about!
Matt Haig,Young Adult,https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UY218_.jpg,345,4.4,"247,802",The Midnight Library: The Multi-million Copy Bestseller
Leigh Bardugo,Young Adult,https://m.media-amazon.com/images/I/91-DipaBR2L._AC_UY218_.jpg,374,4.7,"40,854",SIX OF CROWS (B PB)
Wonder House Books,Children's Books,https://m.media-amazon.com/images/I/81p1nkYo4NL._AC_UY218_.jpg,344,4.5,"83,981",My First Library: Boxset of 10 Board Books for Kids
Maple Press,Children's Books,https://m.media-amazon.com/images/I/913Xkzwq8JL._AC_UY218_.jpg,214,4.4,738,"Story Books for Kids - World Classic (Set of 10 Books) - Moral Stories -Bedtime Children Story Book -Read Aloud to Infants, Toddlers -Alice in Wonderland,Heidi, Jungle Book, Robinson Crusoe"
Wonder House Books,Children's Books,https://m.media-amazon.com/images/I/81r2q3SMrBL._AC_UY218_.jpg,189,4.7,"1,466",Shlokas and Mantras For Kids Illustrated Padded Board Book Learn About India's Rich Culture and Tradition In Three Languages
Antoine de Saint-Exupéry,Children's Books,https://m.media-amazon.com/images/I/71OeSw46tCL._AC_UY218_.jpg,499,4.4,"7,969",Best of Children's Classics : Perfect Gift Set for Kids (Set of 5 Books)
Wonder House Books,Children's Books,https://m.media-amazon.com/images/I/81WCSu2RoJS._AC_UY218_.jpg,179,4.5,"6,587",Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India
by,Children's Books,https://m.media-amazon.com/images/I/81ExT8sUebL._AC_UY218_.jpg,179,4.6,"20,295","Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales by Sudha Murty"
Ruskin Bond,Children's Books,https://m.media-amazon.com/images/I/81m0ag2JbdS._AC_UY218_.jpg,381,4.4,"1,334",Ruskin Bond Short Stories - Set of 4 Bestselling Children Story Books
Maple Press,Children's Books,https://m.media-amazon.com/images/I/71xWWxjzF7L._AC_UY218_.jpg,165,4.4,"9,750","My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids"
Maple Press,Children's Books,https://m.media-amazon.com/images/I/710GgrTea1L._AC_UY218_.jpg,214,4.5,"3,715","Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)"
Rachel Bright,Children's Books,https://m.media-amazon.com/images/I/81kreOltuyL._AC_UY218_.jpg,278,4.7,"8,526",THE LION INSIDE
Ruskin Bond,Children's Books,https://m.media-amazon.com/images/I/71Wcm0WWBnS._AC_UY218_.jpg,187,4.5,"2,934",All-Time Favourites for Children by Ruskin Bond | Illustrated Collection of Timeless Indian Stories | Classic Reads for Young Readers | Ages 7+
Maple Press,Children's Books,https://m.media-amazon.com/images/I/713hLtePeZL._AC_UY218_.jpg,210,4.5,800,"Story Books for Kids (Set of 10 Books) (Illustrated) - World and Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - Einstein, Newton, Galileo Galilei, Marie Curie, Charles Darwin, CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam"
Gareth Moore,Children's Books,https://m.media-amazon.com/images/I/81lmGXLmjuL._AC_UY218_.jpg,138,4.4,"11,887",BRAIN GAMES FOR CLEVER KIDS
